match_link,date,time,stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3252165,"ter, 01/10/19",16:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3252189,"ter, 22/10/19",16:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219389,"dom, 27/10/19",13:30,Anfield
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219340,"sáb, 23/11/19",09:30,London Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3252221,"ter, 26/11/19",17:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219319,"sáb, 07/12/19",12:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219278,"qui, 26/12/19",09:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219271,"sáb, 28/12/19",14:30,Carrow Road
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219159,"ter, 23/06/20",16:15,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219176,"qui, 02/07/20",14:00,Bramall Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219136,"qua, 15/07/20",14:00,St James' Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219156,"dom, 19/07/20",12:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219104,"dom, 26/07/20",12:00,Selhurst Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3433589,"qui, 17/09/20",13:00,Lokomotiv
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3420846,"dom, 20/09/20",08:00,St Mary's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3451627,"qui, 24/09/20",15:00,Gradski Stadion Tetovo
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3459015,"qui, 01/10/20",16:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421709,"dom, 04/10/20",12:30,Old Trafford
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421721,"dom, 18/10/20",12:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421741,"dom, 01/11/20",16:15,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3462314,"qui, 05/11/20",14:55,Huvepharma Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421751,"dom, 08/11/20",09:00,The Hawthorns
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421780,"dom, 06/12/20",13:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421784,"dom, 13/12/20",11:15,Selhurst Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3461321,"qua, 23/12/20",14:30,bet365 Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421841,"sáb, 02/01/21",09:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421831,"qua, 13/01/21",17:15,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421860,"dom, 17/01/21",11:00,Bramall Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429721,"dom, 07/02/21",09:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3517368,"qua, 10/02/21",17:15,Goodison Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429751,"dom, 28/02/21",11:00,Tottenham Hotspur Stadium
